Group,TypeCounts,Objectives,StateCounts
Non-Dominated,"{'Dragon': 2, 'TWDH': 5, 'Minimal': 1}","[-14.0, -30.0, -22.0, 707.0, 75.52287787683125]","{<RobotState.DEFECTIVE: (2, 'purple')>: 6, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'Dragon': 4, 'QWSH': 2, 'Minimal': 2}","[-18.0, -14.0, -20.0, 499.0, 118.98230389740566]","{<RobotState.DEFECTIVE: (2, 'purple')>: 5, <RobotState.ACTIVE: (0, 'green')>: 3}"
Non-Dominated,"{'Minimal': 2, 'Dragon': 2, 'QWSH': 1}","[-9.0, -8.0, -11.0, 255.0, 5.0]","{<RobotState.ACTIVE: (0, 'green')>: 4, <RobotState.DEFECTIVE: (2, 'purple')>: 1}"
Non-Dominated,"{'QWDH': 3, 'TWDH': 1, 'Minimal': 1}","[-14.0, -21.0, -13.0, 517.0, 186.56625057990829]","{<RobotState.DEFECTIVE: (2, 'purple')>: 4, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'Dragon': 7, 'TWDH': 1, 'Minimal': 1, 'QWSH': 1}","[-21.0, -22.0, -28.0, 592.0, 71.16409476419368]","{<RobotState.DEFECTIVE: (2, 'purple')>: 8, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'Dragon': 4, 'QWSH': 1, 'TWDH': 1, 'QWDH': 1, 'Minimal': 1}","[-19.0, -21.0, -22.0, 589.0, 85.16001399746513]","{<RobotState.ACTIVE: (0, 'green')>: 4, <RobotState.DEFECTIVE: (2, 'purple')>: 4}"
Non-Dominated,"{'Minimal': 1, 'QWSH': 1, 'TWSH': 2, 'QWDH': 1}","[-15.0, -12.0, -13.0, 450.0, 64.40588203494178]","{<RobotState.DEFECTIVE: (2, 'purple')>: 4, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'Dragon': 10, 'Minimal': 1}","[-20.0, -21.0, -31.0, 555.0, 92.1994969641607]","{<RobotState.DEFECTIVE: (2, 'purple')>: 10, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'Dragon': 7, 'TWDH': 2, 'Minimal': 1}","[-18.0, -25.0, -28.0, 622.0, 53.416407864998746]","{<RobotState.DEFECTIVE: (2, 'purple')>: 7, <RobotState.ACTIVE: (0, 'green')>: 3}"
Non-Dominated,"{'Dragon': 4, 'QWSH': 2, 'TWDH': 1, 'QWDH': 1}","[-24.0, -22.0, -24.0, 672.0, 123.93176092179125]","{<RobotState.ACTIVE: (0, 'green')>: 3, <RobotState.DEFECTIVE: (2, 'purple')>: 5}"
