Group,TypeCounts,Objectives,StateCounts
Non-Dominated,"{'Minimal': 2, 'Dragon': 2, 'TWDH': 1}","[-6.0, -11.0, -11.0, 157.0, 11.70820393249937]","{<RobotState.ACTIVE: (0, 'green')>: 3, <RobotState.DEFECTIVE: (2, 'purple')>: 2}"
Non-Dominated,"{'Minimal': 2, 'Dragon': 2, 'QWDH': 1}","[-8.0, -11.0, -11.0, 168.0, 30.487475676864214]","{<RobotState.ACTIVE: (0, 'green')>: 2, <RobotState.DEFECTIVE: (2, 'purple')>: 3}"
Non-Dominated,"{'Dragon': 8, 'QWSH': 1, 'TWSH': 1}","[-24.0, -20.0, -30.0, 427.0, 184.02796851549823]","{<RobotState.DEFECTIVE: (2, 'purple')>: 9, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'QWSH': 4, 'QWDH': 1}","[-24.0, -13.0, -15.0, 400.0, 169.3454311887032]","{<RobotState.DEFECTIVE: (2, 'purple')>: 4, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'Minimal': 3, 'TWDH': 1, 'Dragon': 1}","[-4.0, -10.0, -9.0, 156.0, 36.70820393249937]","{<RobotState.ACTIVE: (0, 'green')>: 2, <RobotState.DEFECTIVE: (2, 'purple')>: 3}"
Non-Dominated,"{'Minimal': 1, 'Dragon': 1, 'QWSH': 2, 'TWSH': 1}","[-15.0, -9.0, -13.0, 261.0, 34.14213562373095]","{<RobotState.DEFECTIVE: (2, 'purple')>: 3, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'Dragon': 7, 'QWSH': 1}","[-19.0, -16.0, -24.0, 334.0, 90.48747567686422]","{<RobotState.DEFECTIVE: (2, 'purple')>: 7, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'Dragon': 4, 'TWSH': 1}","[-11.0, -10.0, -15.0, 196.0, 35.124611797498105]","{<RobotState.DEFECTIVE: (2, 'purple')>: 3, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'Dragon': 2, 'TWDH': 6}","[-16.0, -34.0, -24.0, 518.0, 155.07115894743538]","{<RobotState.DEFECTIVE: (2, 'purple')>: 7, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'Dragon': 3, 'TWDH': 1, 'QWSH': 2, 'QWDH': 1}","[-22.0, -20.0, -21.0, 422.0, 186.23117294490055]","{<RobotState.DEFECTIVE: (2, 'purple')>: 6, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'QWSH': 4, 'Minimal': 1}","[-20.0, -9.0, -13.0, 339.0, 137.6904166943351]","{<RobotState.DEFECTIVE: (2, 'purple')>: 3, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'Minimal': 2, 'TWDH': 4, 'Dragon': 1}","[-10.0, -24.0, -17.0, 327.0, 109.03575674746838]","{<RobotState.ACTIVE: (0, 'green')>: 2, <RobotState.DEFECTIVE: (2, 'purple')>: 5}"
Non-Dominated,"{'Dragon': 4, 'TWDH': 1, 'QWSH': 1, 'QWDH': 2}","[-23.0, -25.0, -24.0, 467.0, 200.1882459248948]","{<RobotState.DEFECTIVE: (2, 'purple')>: 7, <RobotState.ACTIVE: (0, 'green')>: 1}"
Non-Dominated,"{'QWSH': 4, 'TWSH': 1, 'Dragon': 1}","[-25.0, -12.0, -18.0, 402.0, 120.79715011809903]","{<RobotState.DEFECTIVE: (2, 'purple')>: 4, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'Minimal': 2, 'QWDH': 2, 'Dragon': 2}","[-12.0, -16.0, -14.0, 269.0, 41.70820393249937]","{<RobotState.DEFECTIVE: (2, 'purple')>: 4, <RobotState.ACTIVE: (0, 'green')>: 2}"
Non-Dominated,"{'Minimal': 2, 'Dragon': 1, 'QWSH': 2}","[-12.0, -8.0, -11.0, 206.0, 5.0]","{<RobotState.ACTIVE: (0, 'green')>: 4, <RobotState.DEFECTIVE: (2, 'purple')>: 1}"
